dimension,nnzA,hilos,tolerancia,tauSAINV,qFSAI,tauAIB,lAIB,metodo,nnzM,construccion,resolucion,total,iteraciones,residuo,convergio
726713,5080961,12,1.000000e-10,0.100000,1,0.010000,20,GCP SAINV,2765999,0.413391,16.255086,16.668477,2769,9.970976e-11,Si
726713,5080961,12,1.000000e-10,0.100000,1,0.010000,20,GCP FSAI,2903837,0.224616,14.162916,14.387532,2606,9.885633e-11,Si
726713,5080961,12,1.000000e-10,0.100000,1,0.010000,20,GCP AIB,15244670,1.324714,14.874655,16.199369,1151,9.927786e-11,Si
726713,5080961,12,1.000000e-10,0.100000,1,0.010000,20,GCP Jacobi,726713,0.005029,16.428076,16.433105,5453,9.975384e-11,Si
