matriz,n,nnzA,metodo,parametros,nnzFactor,construccion,resolucion,total,iteraciones,residuo,convergio
ecology2,999999,4995991,SAINV,tau=0.05,9057138,0.716433,23.065760,23.782193,2160,9.838007e-11,Si
ecology2,999999,4995991,FSAI,q=2,6989986,0.480845,23.156153,23.636998,2586,9.985963e-11,Si
ecology2,999999,4995991,AIB,tau=0.1;l=40,8850673,0.482171,22.589952,23.072123,2134,9.960187e-11,Si
thermal2,1228045,8580313,SAINV,tau=0.05,9516914,3.159243,24.578666,27.737909,1768,9.699608e-11,Si
thermal2,1228045,8580313,FSAI,q=2,11096203,1.513637,25.105072,26.618709,1766,9.923998e-11,Si
thermal2,1228045,8580313,AIB,tau=0.1;l=40,6775212,1.167345,25.299510,26.466855,2058,9.931107e-11,Si
StocF-1465,1465137,21005389,SAINV,tau=0.1,23759493,9.651801,9.365186,19.016988,342,9.577659e-11,Si
StocF-1465,1465137,21005389,FSAI,q=2,46040618,10.672856,265.329616,276.002471,6870,9.966536e-11,Si
StocF-1465,1465137,21005389,AIB,tau=0.1;l=40,21840852,3.076998,47.986178,51.063176,1832,9.292425e-11,Si
G3_circuit,1585478,7660826,SAINV,tau=0.2,5125737,0.603002,11.773046,12.376048,913,9.696673e-11,Si
G3_circuit,1585478,7660826,FSAI,q=2,10882990,0.775091,10.313541,11.088632,675,9.115266e-11,Si
G3_circuit,1585478,7660826,AIB,tau=0.1;l=10,9188616,0.775272,11.695378,12.470650,768,9.818828e-11,Si
