matriz,n,nnzA,metodo,parametros,nnzFactor,construccion,resolucion,total,iteraciones,residuo,convergio
Hook_1498,1498023,59374451,FSAI,q=1,30436237,5.703056,91.525048,97.228104,2275,9.474181e-11,Si
Hook_1498,1498023,59374451,SAINV,tau=0.2,2751275,2.109353,96.349530,98.458882,3789,9.889499e-11,Si
Hook_1498,1498023,59374451,AIB,tau=0.1;l=40,7594374,3.014070,80.910872,83.924942,2855,9.998261e-11,Si
Hook_1498,1498023,59374451,Jacobi,-,1498023,0.027373,119.386645,119.414017,5493,9.952713e-11,Si
Geo_1438,1437960,60236322,FSAI,q=1,30837141,5.536246,32.048789,37.585034,792,9.785612e-11,Si
Geo_1438,1437960,60236322,SAINV,tau=0.2,3266789,2.423921,29.077899,31.501820,1133,9.999282e-11,Si
Geo_1438,1437960,60236322,AIB,tau=0.1;l=40,9383657,3.377525,20.618577,23.996102,700,9.776626e-11,Si
Geo_1438,1437960,60236322,Jacobi,-,1437960,0.026462,37.111224,37.137686,1708,9.991991e-11,Si
Serena,1391349,64131971,FSAI,q=1,32761660,6.624296,17.864465,24.488761,420,9.752600e-11,Si
Serena,1391349,64131971,SAINV,tau=0.2,2889073,2.387450,16.095676,18.483127,612,9.614611e-11,Si
Serena,1391349,64131971,AIB,tau=0.1;l=40,7381488,3.044813,17.404233,20.449046,599,9.388018e-11,Si
Serena,1391349,64131971,Jacobi,-,1391349,0.029062,24.799467,24.828529,1097,9.778814e-11,Si
bone010,986703,47851783,FSAI,q=1,24419243,4.603578,215.427116,220.030695,7030,9.883229e-11,Si
bone010,986703,47851783,SAINV,tau=0.2,2059318,1.156718,179.847930,181.004649,9598,9.733264e-11,Si
bone010,986703,47851783,AIB,tau=0.1;l=40,3777810,1.439714,228.117159,229.556873,11478,9.256237e-11,Si
bone010,986703,47851783,Jacobi,-,986703,0.018012,166.693749,166.711761,10350,9.872980e-11,Si
ldoor,952203,42493817,FSAI,q=1,21723010,4.489994,27.124619,31.614613,957,9.827107e-11,Si
ldoor,952203,42493817,SAINV,tau=0.2,2572947,2.749177,58.217812,60.966990,3282,9.621456e-11,Si
ldoor,952203,42493817,AIB,tau=0.1;l=40,10013562,3.339457,215.057376,218.396833,9735,9.962540e-11,Si
ldoor,952203,42493817,Jacobi,-,952203,0.018512,122.774824,122.793336,8371,9.981154e-11,Si
