matriz,n,nnzA,metodo,parametros,nnzFactor,construccion,resolucion,total,iteraciones,residuo,convergio
bcsstk17,10974,428650,FSAI,q=1,219812,0.040210,0.080151,0.120361,610,9.251705e-11,Si
bcsstk17,10974,428650,SAINV,tau=0.1,118454,0.123582,0.131561,0.255143,1075,9.923933e-11,Si
bcsstk17,10974,428650,AIB,tau=0.01;l=20,205691,0.058821,0.307536,0.366357,2500,9.273108e-11,Si
bcsstk17,10974,428650,Jacobi,-,10974,0.000365,0.208584,0.208949,2919,9.936731e-11,Si
bcsstk18,11948,149090,FSAI,q=1,80519,0.010350,0.044285,0.054635,442,9.050027e-11,Si
bcsstk18,11948,149090,SAINV,tau=0.1,106145,0.080051,0.038428,0.118480,354,8.559893e-11,Si
bcsstk18,11948,149090,AIB,tau=0.01;l=20,146809,0.029650,0.050200,0.079850,463,9.097107e-11,Si
bcsstk18,11948,149090,Jacobi,-,11948,0.000166,0.076924,0.077090,1349,9.472947e-11,Si
bcsstk25,15439,252241,FSAI,q=1,133840,0.017311,0.431741,0.449052,3624,9.870196e-11,Si
bcsstk25,15439,252241,SAINV,tau=0.1,293856,0.344224,0.398663,0.742886,2713,9.101144e-11,Si
bcsstk25,15439,252241,AIB,tau=0.01;l=20,278564,0.059189,0.711935,0.771124,5167,7.521335e-11,Si
bcsstk25,15439,252241,Jacobi,-,15439,0.000240,0.677175,0.677415,9712,9.099604e-11,Si
bcsstk36,23052,1143140,FSAI,q=1,583096,0.117578,0.501238,0.618816,1398,9.963125e-11,Si
bcsstk36,23052,1143140,SAINV,tau=0.1,633858,1.428301,22.578881,24.007182,56989,9.704360e-11,Si
bcsstk36,23052,1143140,AIB,tau=0.01;l=20,476743,0.140486,46.301609,46.442095,152480,9.605221e-11,Si
bcsstk36,23052,1143140,Jacobi,-,23052,0.001782,11.972311,11.974092,92405,9.980057e-11,Si
vanbody,47072,2329056,FSAI,q=1,1188064,0.258133,4.239148,4.497282,4047,9.899055e-11,Si
vanbody,47072,2329056,SAINV,tau=0.1,1211634,4.554608,8.590305,13.144912,7958,9.026153e-11,Si
vanbody,47072,2329056,AIB,tau=0.01;l=20,968655,0.278759,33.749671,34.028430,35813,9.517660e-11,Si
vanbody,47072,2329056,Jacobi,-,47072,0.004108,5.770284,5.774392,14524,9.634747e-11,Si
crankseg_1,52804,10614210,FSAI,q=1,5333507,6.169758,1.155457,7.325215,203,9.083735e-11,Si
crankseg_1,52804,10614210,SAINV,tau=0.1,722624,12.304953,0.765589,13.070541,243,9.662104e-11,Si
crankseg_1,52804,10614210,AIB,tau=0.01;l=20,1098819,1.919009,136.674465,138.593473,41283,9.990477e-11,Si
crankseg_1,52804,10614210,Jacobi,-,52804,0.005999,1.770143,1.776142,657,9.986486e-11,Si
oilpan,73752,2148558,FSAI,q=1,1111155,0.174742,1.441362,1.616104,1415,9.762783e-11,Si
oilpan,73752,2148558,SAINV,tau=0.1,538582,0.447488,5.084250,5.531738,6868,9.764975e-11,Si
oilpan,73752,2148558,AIB,tau=0.01;l=20,1198723,0.323684,13.434547,13.758231,12429,9.756301e-11,Si
oilpan,73752,2148558,Jacobi,-,73752,0.002130,9.364626,9.366756,23834,9.932085e-11,Si
apache1,80800,542184,FSAI,q=1,311492,0.019141,0.265291,0.284432,1249,7.868215e-11,Si
apache1,80800,542184,SAINV,tau=0.1,502995,0.052498,0.103492,0.155989,350,9.891839e-11,Si
apache1,80800,542184,AIB,tau=0.01;l=20,1658612,0.098441,0.242356,0.340796,258,7.430411e-11,Si
apache1,80800,542184,Jacobi,-,80800,0.000537,0.063067,0.063604,479,9.689122e-11,Si
thermal1,82654,574458,FSAI,q=1,328556,0.030776,0.249474,0.280249,732,9.617336e-11,Si
thermal1,82654,574458,SAINV,tau=0.1,359572,0.101032,0.243243,0.344275,656,9.162781e-11,Si
thermal1,82654,574458,AIB,tau=0.01;l=20,1254699,0.156566,0.295801,0.452367,403,9.856649e-11,Si
thermal1,82654,574458,Jacobi,-,82654,0.000837,0.238519,0.239356,1476,9.931090e-11,Si
s3dkt3m2,90449,3686223,FSAI,q=1,1888336,0.274869,6.883811,7.158680,3609,8.992929e-11,Si
s3dkt3m2,90449,3686223,SAINV,tau=0.1,11082864,28.429184,88.368541,116.797725,12606,9.759012e-11,Si
s3dkt3m2,90449,3686223,AIB,tau=0.01;l=20,1651102,0.225108,84.484955,84.710064,47247,9.934150e-11,Si
s3dkt3m2,90449,3686223,Jacobi,-,90449,0.003209,37.886846,37.890054,43661,9.983880e-11,Si
G2_circuit,150102,726674,FSAI,q=1,438388,0.027681,0.283870,0.311550,669,9.818577e-11,Si
G2_circuit,150102,726674,SAINV,tau=0.1,754510,0.079870,0.402305,0.482175,637,9.686790e-11,Si
G2_circuit,150102,726674,AIB,tau=0.01;l=20,2833926,0.182049,0.603709,0.785758,333,9.735372e-11,Si
G2_circuit,150102,726674,Jacobi,-,150102,0.000804,0.302861,0.303665,1524,9.979886e-11,Si
hood,220542,9895422,FSAI,q=1,5057982,1.041462,1.993533,3.034995,346,9.848305e-11,Si
