matriz,n,nnzA,metodo,parametros,nnzFactor,construccion,resolucion,total,iteraciones,residuo,convergio
hood,220542,9895422,SAINV,tau=0.1,2037588,3.529559,5.309698,8.839257,1291,9.923951e-11,Si
hood,220542,9895422,AIB,tau=0.01;l=20,3873928,1.565771,64.445261,66.011032,12609,9.970945e-11,Si
hood,220542,9895422,Jacobi,-,220542,0.007010,13.051875,13.058885,4665,9.927104e-11,Si
parabolic_fem,525825,3674625,FSAI,q=1,2100225,0.140597,5.596472,5.737069,1507,9.731807e-11,Si
parabolic_fem,525825,3674625,SAINV,tau=0.1,2111873,0.447524,5.493358,5.940883,1411,9.980363e-11,Si
parabolic_fem,525825,3674625,AIB,tau=0.01;l=20,5720958,0.579948,5.574485,6.154433,926,9.991396e-11,Si
parabolic_fem,525825,3674625,Jacobi,-,525825,0.003821,2.992406,2.996227,1602,9.840027e-11,Si
Fault_639,638802,27245944,FSAI,q=1,13942373,2.550989,36.008354,38.559343,2056,9.778976e-11,Si
Fault_639,638802,27245944,SAINV,tau=0.1,3745895,3.615388,12.065387,15.680775,990,8.975205e-11,Si
Fault_639,638802,27245944,AIB,tau=0.01;l=20,12653181,4.773822,160.088314,164.862136,9297,9.206277e-11,Si
Fault_639,638802,27245944,Jacobi,-,638802,0.019906,70.874563,70.894469,7977,9.788069e-11,Si
apache2,715176,4817870,FSAI,q=1,2766523,0.155533,11.737702,11.893235,2289,9.714936e-11,Si
apache2,715176,4817870,SAINV,tau=0.1,2338736,0.286518,6.666132,6.952649,1250,9.971450e-11,Si
apache2,715176,4817870,AIB,tau=0.01;l=20,14985158,1.098416,8.851848,9.950265,712,9.569287e-11,Si
apache2,715176,4817870,Jacobi,-,715176,0.007925,13.038490,13.046415,4525,9.969095e-11,Si
tmt_sym,726713,5080961,FSAI,q=1,2903837,0.191359,13.832721,14.024080,2607,9.915099e-11,Si
tmt_sym,726713,5080961,SAINV,tau=0.1,2765999,0.322344,15.795575,16.117919,2769,9.977419e-11,Si
tmt_sym,726713,5080961,AIB,tau=0.01;l=20,15244670,1.157904,14.460449,15.618353,1151,9.927636e-11,Si
tmt_sym,726713,5080961,Jacobi,-,726713,0.006143,16.434838,16.440981,5452,9.863686e-11,Si
ecology2,999999,4995991,FSAI,q=1,2997995,0.177993,24.842725,25.020718,3649,9.920283e-11,Si
ecology2,999999,4995991,SAINV,tau=0.1,4949258,0.405873,25.618460,26.024333,3016,9.969674e-11,Si
ecology2,999999,4995991,AIB,tau=0.01;l=20,20978885,1.341744,25.957210,27.298954,1506,9.684077e-11,Si
ecology2,999999,4995991,Jacobi,-,999999,0.005522,29.465362,29.470884,6864,9.920051e-11,Si
thermal2,1228045,8580313,FSAI,q=1,4904179,0.443473,28.493025,28.936499,2669,9.865727e-11,Si
thermal2,1228045,8580313,SAINV,tau=0.1,5335254,1.647944,27.099743,28.747687,2355,9.972684e-11,Si
thermal2,1228045,8580313,AIB,tau=0.01;l=20,18450999,2.818920,28.661714,31.480635,1506,9.823043e-11,Si
thermal2,1228045,8580313,Jacobi,-,1228045,0.012158,34.177010,34.189169,5254,9.984105e-11,Si
StocF-1465,1465137,21005389,FSAI,q=1,11235263,1.191618,282.609725,283.801343,14880,9.849903e-11,Si
StocF-1465,1465137,21005389,SAINV,tau=0.1,23759493,9.904997,9.381430,19.286426,342,9.693657e-11,Si
StocF-1465,1465137,21005389,AIB,tau=0.01;l=20,23048623,4.001036,381.369794,385.370830,14222,9.959630e-11,Si
StocF-1465,1465137,21005389,Jacobi,-,1465137,0.020074,1244.146560,1244.166634,112924,9.956869e-11,Si
G3_circuit,1585478,7660826,FSAI,q=1,4623152,0.279885,12.068473,12.348358,1019,9.681718e-11,Si
G3_circuit,1585478,7660826,SAINV,tau=0.1,8014561,0.913505,12.265744,13.179249,835,9.739688e-11,Si
G3_circuit,1585478,7660826,AIB,tau=0.01;l=20,29818641,2.309049,12.417886,14.726935,462,9.923208e-11,Si
G3_circuit,1585478,7660826,Jacobi,-,1585478,0.006591,16.713715,16.720306,2158,9.955988e-11,Si
